,odasc,oob,pbsa,humla-effort-auto,humla-effort-1
brackets,1.0,3.0,4.0,5.0,2.0
BroadleafCommerce,2.0,3.0,1.0,4.0,5.0
camel,2.0,3.0,1.0,4.0,5.0
corefx-v-6.2,1.0,4.0,5.0,2.0,3.0
django,2.0,3.0,1.0,5.0,4.0
elasticsearch,2.0,3.0,1.0,4.0,5.0
fabric8,2.0,1.0,3.0,4.0,5.0
godot,2.0,3.0,1.0,5.0,4.0
vscode,2.0,1.0,4.0,5.0,3.0
pytorch,2.0,3.0,1.0,4.0,5.0
spring-boot,1.0,2.0,3.0,4.0,5.0
node,2.0,3.0,1.0,4.0,5.0
nova,2.0,3.0,1.0,5.0,4.0
tomcat,3.0,2.0,1.0,4.0,5.0
pandas,2.0,3.0,1.0,4.0,5.0
security,2.0,3.0,1.0,4.0,5.0
rails,2.0,1.0,3.0,4.0,5.0
rust,2.0,4.0,1.0,3.0,5.0
wp-calypso,2.0,3.0,1.0,4.0,5.0
npm,1.0,2.0,3.0,4.0,5.0
Mybatis3,3.0,2.0,1.0,4.0,5.0
tensorflow,3.0,2.0,1.0,4.0,5.0
cross_project,1.9545454545454546,2.590909090909091,1.8181818181818181,4.090909090909091,4.545454545454546
