,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,yes,yes,yes,yes,yes,yes,no
BroadleafCommerce,yes,yes,yes,yes,no,yes,yes
camel,yes,yes,yes,yes,yes,yes,yes
corefx-v-6.2,yes,yes,yes,yes,yes,yes,yes
django,yes,no,yes,yes,yes,no,yes
elasticsearch,yes,yes,yes,yes,yes,yes,yes
fabric8,yes,yes,yes,yes,yes,yes,yes
godot,yes,yes,yes,yes,yes,yes,yes
vscode,yes,yes,yes,yes,yes,yes,yes
pytorch,yes,yes,yes,yes,yes,yes,yes
spring-boot,yes,yes,yes,yes,yes,yes,yes
node,yes,yes,yes,yes,yes,yes,yes
nova,yes,yes,yes,yes,yes,yes,yes
tomcat,yes,no,no,no,yes,no,no
pandas,yes,no,yes,yes,yes,yes,yes
security,no,no,no,no,no,no,no
rails,yes,yes,yes,yes,yes,yes,yes
rust,yes,yes,yes,no,yes,yes,yes
wp-calypso,yes,yes,yes,yes,yes,yes,yes
npm,yes,no,no,yes,yes,no,yes
Mybatis3,yes,yes,yes,yes,yes,yes,yes
tensorflow,yes,yes,no,yes,yes,yes,yes
cross_project,yes,yes,yes,yes,yes,yes,yes
