,avg_R0,avg_R1,avg_Gmean,avg_mcc,avg_precision,avg_f1_score,avg_acc
brackets,True,True,False,True,True,True,True
BroadleafCommerce,True,False,False,False,True,False,False
camel,True,True,False,False,True,False,False
corefx-v-6.2,True,True,False,True,True,False,True
django,False,False,False,False,False,False,False
elasticsearch,True,True,True,False,True,True,True
fabric8,False,False,False,False,False,False,False
godot,True,True,True,False,True,True,True
vscode,True,True,True,True,True,True,True
pytorch,True,True,True,False,True,True,False
spring-boot,True,True,False,False,True,False,False
node,True,True,True,False,True,True,True
nova,True,True,True,True,True,False,True
tomcat,True,True,True,True,True,True,True
pandas,True,True,False,False,True,True,False
security,False,False,False,False,True,False,False
rails,True,True,True,False,True,True,True
rust,True,True,True,True,True,True,True
wp-calypso,True,True,True,True,True,False,True
npm,False,False,False,False,False,False,False
Mybatis3,False,True,True,True,True,True,True
tensorflow,True,True,True,True,True,True,True
